areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2020-12-27,1583,1999728
nation,England,E92000001,2020-12-26,19960,1998145
nation,England,E92000001,2020-12-25,11517,1978185
nation,England,E92000001,2020-12-24,24020,1966668
nation,England,E92000001,2020-12-23,32684,1942648
nation,England,E92000001,2020-12-22,39655,1909964
nation,England,E92000001,2020-12-21,42068,1870309
nation,England,E92000001,2020-12-20,28815,1828241
nation,England,E92000001,2020-12-19,21646,1799426
nation,England,E92000001,2020-12-18,31787,1777780
nation,England,E92000001,2020-12-17,29536,1745993
nation,England,E92000001,2020-12-16,30025,1716457
nation,England,E92000001,2020-12-15,29077,1686432
nation,England,E92000001,2020-12-14,29483,1657355
nation,England,E92000001,2020-12-13,18136,1627872
nation,England,E92000001,2020-12-12,16024,1609736
nation,England,E92000001,2020-12-11,19879,1593712
nation,England,E92000001,2020-12-10,18569,1573833
nation,England,E92000001,2020-12-09,17505,1555264
nation,England,E92000001,2020-12-08,16687,1537759
nation,England,E92000001,2020-12-07,17420,1521072
nation,England,E92000001,2020-12-06,10899,1503652
nation,England,E92000001,2020-12-05,10180,1492753
nation,England,E92000001,2020-12-04,12880,1482573
nation,England,E92000001,2020-12-03,12525,1469693
nation,England,E92000001,2020-12-02,13428,1457168
nation,England,E92000001,2020-12-01,13508,1443740
nation,England,E92000001,2020-11-30,15023,1430232
nation,England,E92000001,2020-11-29,8911,1415209
nation,England,E92000001,2020-11-28,9191,1406298
nation,England,E92000001,2020-11-27,12263,1397107
nation,England,E92000001,2020-11-26,12266,1384844
nation,England,E92000001,2020-11-25,13917,1372578
nation,England,E92000001,2020-11-24,14024,1358661
nation,England,E92000001,2020-11-23,16171,1344637
nation,England,E92000001,2020-11-22,10036,1328466
nation,England,E92000001,2020-11-21,10608,1318430
nation,England,E92000001,2020-11-20,14676,1307822
nation,England,E92000001,2020-11-19,15492,1293146
nation,England,E92000001,2020-11-18,18207,1277654
nation,England,E92000001,2020-11-17,20326,1259447
nation,England,E92000001,2020-11-16,23710,1239121
nation,England,E92000001,2020-11-15,14221,1215411
nation,England,E92000001,2020-11-14,16034,1201190
nation,England,E92000001,2020-11-13,21636,1185156
nation,England,E92000001,2020-11-12,21932,1163520
nation,England,E92000001,2020-11-11,24628,1141588
nation,England,E92000001,2020-11-10,24455,1116960
nation,England,E92000001,2020-11-09,28079,1092505
nation,England,E92000001,2020-11-08,17951,1064426
nation,England,E92000001,2020-11-07,16613,1046475
nation,England,E92000001,2020-11-06,20815,1029862
nation,England,E92000001,2020-11-05,20867,1009047
nation,England,E92000001,2020-11-04,20684,988180
nation,England,E92000001,2020-11-03,22293,967496
nation,England,E92000001,2020-11-02,27923,945203
nation,England,E92000001,2020-11-01,13363,917280
nation,England,E92000001,2020-10-31,14355,903917
nation,England,E92000001,2020-10-30,19645,889562
nation,England,E92000001,2020-10-29,19975,869917
nation,England,E92000001,2020-10-28,20231,849942
nation,England,E92000001,2020-10-27,20495,829711
nation,England,E92000001,2020-10-26,22742,809216
nation,England,E92000001,2020-10-25,13160,786474
nation,England,E92000001,2020-10-24,13519,773314
nation,England,E92000001,2020-10-23,18122,759795
nation,England,E92000001,2020-10-22,19613,741673
nation,England,E92000001,2020-10-21,21510,722060
nation,England,E92000001,2020-10-20,21323,700550
nation,England,E92000001,2020-10-19,22087,679227
nation,England,E92000001,2020-10-18,11838,657140
nation,England,E92000001,2020-10-17,12353,645302
nation,England,E92000001,2020-10-16,14542,632949
nation,England,E92000001,2020-10-15,15236,618407
nation,England,E92000001,2020-10-14,16441,603171
nation,England,E92000001,2020-10-13,15435,586730
nation,England,E92000001,2020-10-12,16193,571295
nation,England,E92000001,2020-10-11,9649,555102
nation,England,E92000001,2020-10-10,10151,545453
nation,England,E92000001,2020-10-09,13007,535302
nation,England,E92000001,2020-10-08,15272,522295
nation,England,E92000001,2020-10-07,15202,507023
nation,England,E92000001,2020-10-06,14304,491821
nation,England,E92000001,2020-10-05,14045,477517
nation,England,E92000001,2020-10-04,9831,463472
nation,England,E92000001,2020-10-03,9713,453641
nation,England,E92000001,2020-10-02,11582,443928
nation,England,E92000001,2020-10-01,11302,432346
nation,England,E92000001,2020-09-30,10524,421044
nation,England,E92000001,2020-09-29,8729,410520
nation,England,E92000001,2020-09-28,8584,401791
nation,England,E92000001,2020-09-27,6026,393207
nation,England,E92000001,2020-09-26,5651,387181
nation,England,E92000001,2020-09-25,6048,381530
nation,England,E92000001,2020-09-24,6298,375482
nation,England,E92000001,2020-09-23,5891,369184
nation,England,E92000001,2020-09-22,5377,363293
nation,England,E92000001,2020-09-21,4702,357916
nation,England,E92000001,2020-09-20,4629,353214
nation,England,E92000001,2020-09-19,4183,348585
nation,England,E92000001,2020-09-18,4275,344402
nation,England,E92000001,2020-09-17,3941,340127
nation,England,E92000001,2020-09-16,3753,336186
nation,England,E92000001,2020-09-15,3047,332433
nation,England,E92000001,2020-09-14,2900,329386
nation,England,E92000001,2020-09-13,1713,326486
nation,England,E92000001,2020-09-12,2212,324773
nation,England,E92000001,2020-09-11,2860,322561
nation,England,E92000001,2020-09-10,3103,319701
nation,England,E92000001,2020-09-09,2852,316598
nation,England,E92000001,2020-09-08,3004,313746
nation,England,E92000001,2020-09-07,3465,310742
nation,England,E92000001,2020-09-06,2060,307277
nation,England,E92000001,2020-09-05,2190,305217
nation,England,E92000001,2020-09-04,2589,303027
nation,England,E92000001,2020-09-03,2666,300438
nation,England,E92000001,2020-09-02,2617,297772
nation,England,E92000001,2020-09-01,1928,295155
nation,England,E92000001,2020-08-31,1260,293227
nation,England,E92000001,2020-08-30,978,291967
nation,England,E92000001,2020-08-29,1042,290989
nation,England,E92000001,2020-08-28,1384,289947
nation,England,E92000001,2020-08-27,1326,288563
nation,England,E92000001,2020-08-26,1139,287237
nation,England,E92000001,2020-08-25,1060,286098
nation,England,E92000001,2020-08-24,1130,285038
nation,England,E92000001,2020-08-23,693,283908
nation,England,E92000001,2020-08-22,715,283215
nation,England,E92000001,2020-08-21,1003,282500
nation,England,E92000001,2020-08-20,1222,281497
nation,England,E92000001,2020-08-19,1071,280275
nation,England,E92000001,2020-08-18,924,279204
nation,England,E92000001,2020-08-17,1138,278280
nation,England,E92000001,2020-08-16,527,277142
nation,England,E92000001,2020-08-15,645,276615
nation,England,E92000001,2020-08-14,1036,275970
nation,England,E92000001,2020-08-13,1018,274934
nation,England,E92000001,2020-08-12,1095,273916
nation,England,E92000001,2020-08-11,1211,272821
nation,England,E92000001,2020-08-10,1350,271610
nation,England,E92000001,2020-08-09,557,270260
nation,England,E92000001,2020-08-08,636,269703
nation,England,E92000001,2020-08-07,866,269067
nation,England,E92000001,2020-08-06,980,268201
nation,England,E92000001,2020-08-05,942,267221
nation,England,E92000001,2020-08-04,920,266279
nation,England,E92000001,2020-08-03,939,265359
nation,England,E92000001,2020-08-02,512,264420
nation,England,E92000001,2020-08-01,493,263908
nation,England,E92000001,2020-07-31,623,263415
nation,England,E92000001,2020-07-30,855,262792
nation,England,E92000001,2020-07-29,973,261937
nation,England,E92000001,2020-07-28,781,260964
nation,England,E92000001,2020-07-27,808,260183
nation,England,E92000001,2020-07-26,515,259375
nation,England,E92000001,2020-07-25,492,258860
nation,England,E92000001,2020-07-24,714,258368
nation,England,E92000001,2020-07-23,732,257654
nation,England,E92000001,2020-07-22,750,256922
nation,England,E92000001,2020-07-21,691,256172
nation,England,E92000001,2020-07-20,752,255481
nation,England,E92000001,2020-07-19,413,254729
nation,England,E92000001,2020-07-18,466,254316
nation,England,E92000001,2020-07-17,547,253850
nation,England,E92000001,2020-07-16,639,253303
nation,England,E92000001,2020-07-15,724,252664
nation,England,E92000001,2020-07-14,652,251940
nation,England,E92000001,2020-07-13,688,251288
nation,England,E92000001,2020-07-12,353,250600
nation,England,E92000001,2020-07-11,422,250247
nation,England,E92000001,2020-07-10,520,249825
nation,England,E92000001,2020-07-09,682,249305
nation,England,E92000001,2020-07-08,673,248623
nation,England,E92000001,2020-07-07,558,247950
nation,England,E92000001,2020-07-06,656,247392
nation,England,E92000001,2020-07-05,539,246736
nation,England,E92000001,2020-07-04,385,246197
nation,England,E92000001,2020-07-03,539,245812
nation,England,E92000001,2020-07-02,560,245273
nation,England,E92000001,2020-07-01,603,244713
nation,England,E92000001,2020-06-30,570,244110
nation,England,E92000001,2020-06-29,665,243540
nation,England,E92000001,2020-06-28,411,242875
nation,England,E92000001,2020-06-27,502,242464
nation,England,E92000001,2020-06-26,642,241962
nation,England,E92000001,2020-06-25,638,241320
nation,England,E92000001,2020-06-24,727,240682
nation,England,E92000001,2020-06-23,728,239955
nation,England,E92000001,2020-06-22,811,239227
nation,England,E92000001,2020-06-21,551,238416
nation,England,E92000001,2020-06-20,629,237865
nation,England,E92000001,2020-06-19,811,237236
nation,England,E92000001,2020-06-18,946,236425
nation,England,E92000001,2020-06-17,911,235479
nation,England,E92000001,2020-06-16,992,234568
nation,England,E92000001,2020-06-15,938,233576
nation,England,E92000001,2020-06-14,745,232638
nation,England,E92000001,2020-06-13,784,231893
nation,England,E92000001,2020-06-12,937,231109
nation,England,E92000001,2020-06-11,915,230172
nation,England,E92000001,2020-06-10,1079,229257
nation,England,E92000001,2020-06-09,1060,228178
nation,England,E92000001,2020-06-08,989,227118
nation,England,E92000001,2020-06-07,663,226129
nation,England,E92000001,2020-06-06,722,225466
nation,England,E92000001,2020-06-05,1019,224744
nation,England,E92000001,2020-06-04,1146,223725
nation,England,E92000001,2020-06-03,1240,222579
nation,England,E92000001,2020-06-02,1350,221339
nation,England,E92000001,2020-06-01,1313,219989
nation,England,E92000001,2020-05-31,984,218676
nation,England,E92000001,2020-05-30,999,217692
nation,England,E92000001,2020-05-29,1371,216693
nation,England,E92000001,2020-05-28,1572,215322
nation,England,E92000001,2020-05-27,1612,213750
nation,England,E92000001,2020-05-26,1457,212138
nation,England,E92000001,2020-05-25,1380,210681
nation,England,E92000001,2020-05-24,1200,209301
nation,England,E92000001,2020-05-23,1301,208101
nation,England,E92000001,2020-05-22,1797,206800
nation,England,E92000001,2020-05-21,2275,205003
nation,England,E92000001,2020-05-20,2346,202728
nation,England,E92000001,2020-05-19,2592,200382
nation,England,E92000001,2020-05-18,2214,197790
nation,England,E92000001,2020-05-17,1588,195576
nation,England,E92000001,2020-05-16,1772,193988
nation,England,E92000001,2020-05-15,2134,192216
nation,England,E92000001,2020-05-14,2212,190082
nation,England,E92000001,2020-05-13,2880,187870
nation,England,E92000001,2020-05-12,2926,184990
nation,England,E92000001,2020-05-11,3063,182064
nation,England,E92000001,2020-05-10,2006,179001
nation,England,E92000001,2020-05-09,1793,176995
nation,England,E92000001,2020-05-08,2616,175202
nation,England,E92000001,2020-05-07,3205,172586
nation,England,E92000001,2020-05-06,3265,169381
nation,England,E92000001,2020-05-05,3138,166116
nation,England,E92000001,2020-05-04,2845,162978
nation,England,E92000001,2020-05-03,2628,160133
nation,England,E92000001,2020-05-02,2744,157505
nation,England,E92000001,2020-05-01,4091,154761
nation,England,E92000001,2020-04-30,4310,150670
nation,England,E92000001,2020-04-29,4733,146360
nation,England,E92000001,2020-04-28,4116,141627
nation,England,E92000001,2020-04-27,4030,137511
nation,England,E92000001,2020-04-26,3134,133481
nation,England,E92000001,2020-04-25,3374,130347
nation,England,E92000001,2020-04-24,4355,126973
nation,England,E92000001,2020-04-23,4558,122618
nation,England,E92000001,2020-04-22,4800,118060
nation,England,E92000001,2020-04-21,3970,113260
nation,England,E92000001,2020-04-20,3685,109290
nation,England,E92000001,2020-04-19,3470,105605
nation,England,E92000001,2020-04-18,4113,102135
nation,England,E92000001,2020-04-17,4071,98022
nation,England,E92000001,2020-04-16,4364,93951
nation,England,E92000001,2020-04-15,4214,89587
nation,England,E92000001,2020-04-14,3544,85373
nation,England,E92000001,2020-04-13,3436,81829
nation,England,E92000001,2020-04-12,2944,78393
nation,England,E92000001,2020-04-11,3073,75449
nation,England,E92000001,2020-04-10,3581,72376
nation,England,E92000001,2020-04-09,4061,68795
nation,England,E92000001,2020-04-08,4289,64734
nation,England,E92000001,2020-04-07,4581,60445
nation,England,E92000001,2020-04-06,4380,55864
nation,England,E92000001,2020-04-05,3083,51484
nation,England,E92000001,2020-04-04,3381,48401
nation,England,E92000001,2020-04-03,4111,45020
nation,England,E92000001,2020-04-02,4070,40909
nation,England,E92000001,2020-04-01,4101,36839
nation,England,E92000001,2020-03-31,3781,32738
nation,England,E92000001,2020-03-30,3519,28957
nation,England,E92000001,2020-03-29,2442,25438
nation,England,E92000001,2020-03-28,2375,22996
nation,England,E92000001,2020-03-27,2653,20621
nation,England,E92000001,2020-03-26,2616,17968
nation,England,E92000001,2020-03-25,2260,15352
nation,England,E92000001,2020-03-24,2025,13092
nation,England,E92000001,2020-03-23,2015,11067
nation,England,E92000001,2020-03-22,1210,9052
nation,England,E92000001,2020-03-21,1037,7842
nation,England,E92000001,2020-03-20,1082,6805
nation,England,E92000001,2020-03-19,929,5723
nation,England,E92000001,2020-03-18,908,4794
nation,England,E92000001,2020-03-17,680,3886
nation,England,E92000001,2020-03-16,548,3206
nation,England,E92000001,2020-03-15,398,2658
nation,England,E92000001,2020-03-14,315,2260
nation,England,E92000001,2020-03-13,394,1945
nation,England,E92000001,2020-03-12,414,1551
nation,England,E92000001,2020-03-11,353,1137
nation,England,E92000001,2020-03-10,227,784
nation,England,E92000001,2020-03-09,124,557
nation,England,E92000001,2020-03-08,50,433
nation,England,E92000001,2020-03-07,55,383
nation,England,E92000001,2020-03-06,73,328
nation,England,E92000001,2020-03-05,47,255
nation,England,E92000001,2020-03-04,49,208
nation,England,E92000001,2020-03-03,53,159
nation,England,E92000001,2020-03-02,39,106
nation,England,E92000001,2020-03-01,20,67
nation,England,E92000001,2020-02-29,5,47
nation,England,E92000001,2020-02-28,11,42
nation,England,E92000001,2020-02-27,7,31
nation,England,E92000001,2020-02-26,4,24
nation,England,E92000001,2020-02-25,5,20
nation,England,E92000001,2020-02-24,2,15
nation,England,E92000001,2020-02-23,1,13
nation,England,E92000001,2020-02-22,2,12
nation,England,E92000001,2020-02-21,1,10
nation,England,E92000001,2020-02-20,0,9
nation,England,E92000001,2020-02-19,0,9
nation,England,E92000001,2020-02-18,0,9
nation,England,E92000001,2020-02-17,0,9
nation,England,E92000001,2020-02-16,0,9
nation,England,E92000001,2020-02-15,0,9
nation,England,E92000001,2020-02-14,0,9
nation,England,E92000001,2020-02-13,0,9
nation,England,E92000001,2020-02-12,0,9
nation,England,E92000001,2020-02-11,1,9
nation,England,E92000001,2020-02-10,0,8
nation,England,E92000001,2020-02-09,1,8
nation,England,E92000001,2020-02-08,4,7
nation,England,E92000001,2020-02-07,0,3
nation,England,E92000001,2020-02-06,0,3
nation,England,E92000001,2020-02-05,1,3
nation,England,E92000001,2020-02-04,0,2
nation,England,E92000001,2020-02-03,0,2
nation,England,E92000001,2020-02-02,0,2
nation,England,E92000001,2020-02-01,0,2
nation,England,E92000001,2020-01-31,0,2
nation,England,E92000001,2020-01-30,2,2
